         293958151 function calls (293951043 primitive calls) in 1240.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6070008   12.473    0.000   36.908    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/tensor.py:17(__init__)
  1200000    1.743    0.000   35.938    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3051(max)
   600000    5.759    0.000   31.657    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5132(meshgrid)
  2400000   20.572    0.000   29.692    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:37(as_strided)
  1800000    2.328    0.000   29.635    0.000 {method 'mean' of 'numpy.ndarray' objects}
  1800000   11.516    0.000   27.306    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/_methods.py:117(_mean)
  1800000   17.905    0.000   24.139    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
  6070077   17.159    0.000   22.510    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/numeric.py:98(zeros_like)
   600000    3.079    0.000   22.179    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
  1200000    4.400    0.000   22.090    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:469(_as_pairs)
  3600000   17.900    0.000   21.163    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/shape_base.py:380(stack)
  1800000   20.273    0.000   20.273    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer/fully_connected_layer.py:23(forward)
  1800000    2.859    0.000   19.783    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2337(sum)
   600000    7.512    0.000   18.958    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/activations/softmax_layer.py:24(backward)
   600000    4.187    0.000   16.474    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:173(rot90)
  1800000   16.390    0.000   16.390    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer/fully_connected_layer.py:28(backward)
  2400069    2.727    0.000   15.026    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   600000    4.934    0.000   14.440    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/activations/softmax_layer.py:12(forward)
   600000    4.643    0.000   14.100    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/loss/cross_entropy.py:11(forward)
   600000    6.225    0.000   13.643    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/input_layer_2D.py:10(forward)
  1200000    4.618    0.000   11.802    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:267(flip)
  1200000   11.098    0.000   11.404    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/activations/relu_layer.py:20(backward)
   600000    6.446    0.000   10.599    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:1211(tile)
 12070084    9.368    0.000    9.368    0.000 {built-in method numpy.zeros}
   600000    6.018    0.000    9.107    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:331(diagflat)
  1200000    2.211    0.000    9.038    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2240(clip)
  6600000    8.676    0.000    8.676    0.000 {method 'reshape' of 'numpy.ndarray' objects}
3601796/3601723    8.531    0.000    8.532    0.000 {built-in method numpy.asarray}
  1800000    6.548    0.000    8.386    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:128(_set_pad_area)
   600000    0.518    0.000    8.045    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:367(broadcast_to)
   600000    5.394    0.000    7.924    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:85(_pad_simple)
   600000    1.224    0.000    7.680    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1250(argmax)
        1    0.080    0.080    7.107    7.107 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/mnist_dataset.py:9(load_mnist_data)
   600000    6.805    0.000    6.805    0.000 {method 'at' of 'numpy.ufunc' objects}
   600000    2.776    0.000    6.712    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/loss/cross_entropy.py:27(backward)
      3/2    0.000    0.000    6.662    3.331 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:185(wrapper)
  1200000    4.363    0.000    6.520    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/numeric.py:1420(normalize_axis_tuple)
  1800000    5.367    0.000    6.500    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/_methods.py:75(_count_reduce_items)
17452302/17449734    5.460    0.000    5.467    0.000 {built-in method builtins.isinstance}
   600000    5.430    0.000    5.430    0.000 {method 'argmax' of 'numpy.ndarray' objects}
  1200000    1.047    0.000    5.267    0.000 {method 'clip' of 'numpy.ndarray' objects}
  3600000    1.709    0.000    4.814    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/shape_base.py:370(_stack_dispatcher)
  1200000    4.535    0.000    4.535    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/activations/relu_layer.py:14(forward)
        1    0.000    0.000    4.420    4.420 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:754(fetch_openml)
        5    0.001    0.000    4.419    0.884 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:62(wrapper)
        1    0.000    0.000    4.417    4.417 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:572(_download_data_to_bunch)
        1    0.014    0.014    4.416    4.416 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:436(_load_arff_response)
  1200000    4.220    0.000    4.220    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/_methods.py:98(_clip)
   600000    0.553    0.000    4.217    0.000 {method 'min' of 'numpy.ndarray' objects}
  2400070    4.114    0.000    4.114    0.000 {built-in method numpy.arange}
        1    0.000    0.000    3.852    3.852 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:534(_open_url_and_load_gzip_file)
        1    0.024    0.024    3.851    3.851 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_arff_parser.py:463(load_arff_from_gzip_file)
        1    0.026    0.026    3.827    3.827 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_arff_parser.py:311(_pandas_arff_parser)
  7200072    3.761    0.000    3.761    0.000 {built-in method numpy.array}
   600000    0.324    0.000    3.664    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/_methods.py:45(_amin)
        1    0.000    0.000    3.524    3.524 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/io/parsers/readers.py:868(read_csv)
        1    0.077    0.077    3.524    3.524 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/io/parsers/readers.py:583(_read)
        1    0.005    0.005    3.446    3.446 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/io/parsers/readers.py:1907(read)
  3600000    1.921    0.000    3.105    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/shape_base.py:208(_arrays_for_stack_dispatcher)
 10802646    3.095    0.000    3.095    0.000 {built-in method builtins.hasattr}
 11402404    3.075    0.000    3.075    0.000 {method 'append' of 'list' objects}
   600000    1.774    0.000    3.063    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer/flatten.py:16(backward)
  1800002    1.803    0.000    2.839    0.000 {built-in method builtins.any}
        1    2.248    2.248    2.831    2.831 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
   600000    0.754    0.000    2.496    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3617(round)
11496294/11491989    2.351    0.000    2.352    0.000 {built-in method builtins.len}
  1800000    0.721    0.000    2.315    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5278(<genexpr>)
        1    0.000    0.000    2.241    2.241 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/model_selection/_split.py:2734(train_test_split)
        3    0.000    0.000    2.239    0.746 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/model_selection/_split.py:2877(<genexpr>)
        4    0.000    0.000    2.239    0.560 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/utils/_indexing.py:179(_safe_indexing)
        4    2.239    0.560    2.239    0.560 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/utils/_indexing.py:27(_array_indexing)
  1800000    2.215    0.000    2.215    0.000 {method 'fill' of 'numpy.ndarray' objects}
  1800000    2.150    0.000    2.150    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:57(_view_roi)
   600000    1.911    0.000    2.017    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
  4200000    1.862    0.000    1.862    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:24(_maybe_view_as_subclass)
  6600000    1.854    0.000    1.854    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
  3600000    1.838    0.000    1.838    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:32(_slice_at_axis)
  9000000    1.802    0.000    1.802    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1049(_einsum_dispatcher)
  7200005    1.695    0.000    1.695    0.000 {built-in method numpy.asanyarray}
   600000    1.033    0.000    1.622    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer/flatten.py:12(forward)
  1200000    1.594    0.000    1.594    0.000 {method 'copy' of 'numpy.ndarray' objects}
  3000000    1.464    0.000    1.464    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  1800000    0.884    0.000    1.340    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:358(iterable)
   600000    1.266    0.000    1.266    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   600002    1.195    0.000    1.195    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  2400000    0.759    0.000    1.121    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/numeric.py:1469(<genexpr>)
  3000017    1.049    0.000    1.049    0.000 {method 'items' of 'dict' objects}
  5400000    1.035    0.000    1.035    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:345(<genexpr>)
  6070158    0.986    0.000    0.986    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:1106(copyto)
  2400000    0.979    0.000    0.979    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:119(<genexpr>)
  6070023    0.966    0.000    0.966    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/tensor.py:9(__init__)
  6070077    0.958    0.000    0.958    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/numeric.py:92(_zeros_like_dispatcher)
  3605284    0.905    0.000    0.905    0.000 {built-in method builtins.issubclass}
  2411780    0.872    0.000    0.872    0.000 {built-in method builtins.getattr}
  6070077    0.830    0.000    0.830    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:115(empty_like)
   600165    0.801    0.000    0.801    0.000 {built-in method numpy.empty}
  2400000    0.751    0.000    0.751    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:108(<genexpr>)
   600000    0.731    0.000    0.731    0.000 {method 'round' of 'numpy.ndarray' objects}
  1800000    0.679    0.000    0.679    0.000 {method '__exit__' of 'numpy.nditer' objects}
  3600855    0.642    0.000    0.642    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:188(concatenate)
   600002    0.576    0.000    0.576    0.000 {method 'astype' of 'numpy.ndarray' objects}
    16295    0.053    0.000    0.576    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/_compression.py:66(readinto)
   600001    0.566    0.000    0.566    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.559    0.559 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
        1    0.001    0.001    0.559    0.559 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
  2400000    0.533    0.000    0.533    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:19(__init__)
   600001    0.524    0.000    0.524    0.000 {method 'tolist' of 'numpy.ndarray' objects}
  791/790    0.006    0.000    0.522    0.001 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
  1200000    0.517    0.000    0.517    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:1284(<genexpr>)
    16303    0.024    0.000    0.509    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/gzip.py:502(read)
      868    0.004    0.000    0.493    0.001 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
        1    0.000    0.000    0.480    0.480 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/series.py:607(_init_dict)
        6    0.135    0.023    0.480    0.080 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1579(construct_1d_object_array_from_listlike)
        3    0.000    0.000    0.480    0.160 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/construction.py:769(_try_cast)
  1800079    0.456    0.000    0.456    0.000 {built-in method builtins.iter}
600872/600870    0.297    0.000    0.437    0.000 {built-in method builtins.all}
  1200000    0.426    0.000    0.426    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:1294(<genexpr>)
    16295    0.408    0.000    0.408    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
    31224    0.010    0.000    0.389    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_openml.py:522(<lambda>)
    31228    0.017    0.000    0.380    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/gzip.py:319(read)
  2400000    0.368    0.000    0.368    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:792(__getitem__)
  1800000    0.366    0.000    0.366    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2332(_sum_dispatcher)
   600000    0.359    0.000    0.359    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
31510/31352    0.025    0.000    0.355    0.000 {method 'read' of '_io.BufferedReader' objects}
   600002    0.345    0.000    0.345    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
      785    0.001    0.000    0.330    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/series.py:978(__array__)
  1200000    0.306    0.000    0.306    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:391(where)
        1    0.117    0.117    0.279    0.279 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/io/parsers/c_parser_wrapper.py:355(_concatenate_chunks)
  1200000    0.278    0.000    0.278    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2235(_clip_dispatcher)
       77    0.000    0.000    0.273    0.004 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
        4    0.000    0.000    0.273    0.068 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
       77    0.272    0.004    0.273    0.004 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        2    0.000    0.000    0.271    0.136 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
        2    0.000    0.000    0.271    0.136 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/generic.py:4027(take)
        2    0.000    0.000    0.271    0.136 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:869(take)
        2    0.000    0.000    0.271    0.136 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
        2    0.000    0.000    0.271    0.136 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
        2    0.000    0.000    0.271    0.135 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
      609    0.001    0.000    0.253    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/gzip.py:326(read1)
      609    0.008    0.000    0.252    0.000 {method 'read1' of '_io.BufferedReader' objects}
   600258    0.246    0.000    0.246    0.000 {method 'get' of 'dict' objects}
  1200000    0.236    0.000    0.236    0.000 {built-in method _operator.index}
  1200000    0.221    0.000    0.221    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3046(_max_dispatcher)
  1200000    0.205    0.000    0.205    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:263(_flip_dispatcher)
    31223    0.161    0.000    0.161    0.000 {method 'update' of '_hashlib.HASH' objects}
   600000    0.147    0.000    0.147    0.000 {built-in method builtins.abs}
      784    0.137    0.000    0.138    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
   600000    0.137    0.000    0.137    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:1207(_tile_dispatcher)
   600000    0.131    0.000    0.131    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:769(dot)
   600000    0.130    0.000    0.130    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1246(_argmax_dispatcher)
   600000    0.124    0.000    0.124    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3613(_round_dispatcher)
   600000    0.123    0.000    0.123    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:254(_diag_dispatcher)
   600000    0.123    0.000    0.123    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5127(_meshgrid_dispatcher)
   600000    0.121    0.000    0.121    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/multiarray.py:1061(unravel_index)
   600014    0.118    0.000    0.118    0.000 {built-in method builtins.callable}
   600000    0.115    0.000    0.115    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:169(_rot90_dispatcher)
   600000    0.100    0.000    0.100    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:477(_broadcast_arrays_dispatcher)
   600000    0.095    0.000    0.095    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:536(_pad_dispatcher)
   600000    0.095    0.000    0.095    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:363(_broadcast_to_dispatcher)
        1    0.000    0.000    0.078    0.078 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/sklearn/datasets/_arff_parser.py:75(_post_process_frame)
        1    0.000    0.000    0.075    0.075 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.070    0.070 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
        1    0.000    0.000    0.070    0.070 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:2190(_form_blocks)
        1    0.070    0.070    0.070    0.070 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:2246(_stack_arrays)
    16309    0.067    0.000    0.067    0.000 {built-in method zlib.crc32}
       69    0.001    0.000    0.038    0.001 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:623(_from_inferred_categories)
     2361    0.004    0.000    0.016    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/generic.py:6284(__getattr__)
    54206    0.014    0.000    0.014    0.000 {method 'pop' of 'dict' objects}
      138    0.000    0.000    0.014    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:2962(recode_for_categories)
    32636    0.008    0.000    0.012    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/_compression.py:12(_check_not_closed)
      609    0.001    0.000    0.011    0.000 <frozen codecs>:319(decode)
     1570    0.002    0.000    0.011    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)
      609    0.011    0.000    0.011    0.000 {built-in method _codecs.utf_8_decode}
      790    0.004    0.000    0.010    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
       78    0.001    0.000    0.009    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
       71    0.000    0.000    0.008    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
      804    0.002    0.000    0.007    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/generic.py:6301(__setattr__)
     7255    0.003    0.000    0.007    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
       72    0.000    0.000    0.007    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:3820(get_indexer)
      283    0.001    0.000    0.007    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:5552(equals)
      790    0.002    0.000    0.007    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/internals/managers.py:1863(from_array)
       69    0.000    0.000    0.006    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
       69    0.000    0.000    0.006    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/indexes/base.py:5858(sort_values)
     2197    0.002    0.000    0.006    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
      205    0.000    0.000    0.006    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:390(__hash__)
       69    0.001    0.000    0.005    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:478(_hash_categories)
      288    0.000    0.000    0.005    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/gzip.py:89(read)
     1570    0.001    0.000    0.005    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/pandas/core/dtypes/common.py:536(is_string_dtype)
